rank,title,studio,gross,year
11832,Rid of Me,SD,"$11,740",2011
11833,Writer of O,Zeit.,"$11,728",2005
11834,White Wedding,Da.,"$11,710",2010
11835,Hell's Kitchen,Cow.,"$11,710",1999
11836,One Peace at a Time,Mont.,"$11,698",2009
11837,Breaking Up,WB,"$11,690",1997
11838,My Voyage to Italy,Mira.,"$11,683",2001
11839,Pontiac Moon,Par.,"$11,669",1994
11840,Salt of this Sea,Lorb.,"$11,662",2010
11841,Home Is Where the Hart Is,Atl,"$11,660",1987
11842,Charlie Countryman,MNE,"$11,650",2013
11843,36 Saints,AFP,"$11,640",2013
11844,Angels in the Dust,Libre,"$11,606",2007
11845,Living is Easy with Eyes Closed,Outs,"$11,600",2014
11846,Operation Filmmaker,Icar.,"$11,573",2008
11847,Crop Circles: Quest for Truth,Open,"$11,562",2002
11848,Intoxicating,RA,"$11,560",2004
11849,East of Havana,BMG,"$11,550",2007
11850,Ultrasuede,Trib.,"$11,539",2012
11851,After the Cup: Sons of Sakhnin United,Vari.,"$11,538",2010
11852,Girl Play,Wlfe.,"$11,523",2005
11853,Elektra Luxx,Gold.,"$11,514",2011
11854,You're Not You,EOne,"$11,486",2014
11855,Manfast,HGS,"$11,480",2003
11856,Waltzing Anna,KMG,"$11,455",2006
11857,Whole New Thing,Pict.,"$11,445",2007
11858,The Taqwacores,Strand,"$11,445",2010
11859,Sputnik Mania,Bal.,"$11,441",2008
11860,Gardens of the Night,CityL,"$11,436",2008
11861,Quiet Chaos,IFC,"$11,434",2009
11862,The Final Member,Drft.,"$11,428",2014
11863,The Great Invisible,RTWC,"$11,428",2014
11864,The Mesmerist,7Art,"$11,422",2002
11865,Love Forbidden,Strand,"$11,421",2003
11866,Le Grand Role,FRun,"$11,419",2005
11867,Taxidermia,Reg.,"$11,408",2009
11868,Just Like a Woman,Cohen,"$11,403",2013
11869,Verdict on Auschwitz,FRun,"$11,396",2007
11870,Iron Warrior,TWE,"$11,385",1987
11871,Camera Obscura,Fish,"$11,384",2003
11872,Cherry,Abr.,"$11,362",2010
11873,Family Fundamentals,Focus,"$11,344",2002
11874,The Amazing Catfish,Strand,"$11,342",2014
11875,Cinemania,Loop,"$11,305",2003
11876,"Otto; or, Up with the Dead People",Strand,"$11,295",2008
11877,Live Freaky! Die Freaky!,Wells,"$11,290",2006
11878,Dishkiyaoon,Eros,"$11,288",2014
11879,Looking for Palladin,Wildc.,"$11,268",2009
11880,Policeman,Crnth,"$11,263",2014
11881,Run and Jump,IFC,"$11,229",2014
11882,Tour Truffaut,Wins.,"$11,206",1999
11883,Fat Girls,Reg.,"$11,204",2007
11884,So Young,CL,"$11,186",2013
11885,Children of Invention,N/A,"$11,183",2010
11886,Lost in Beijing,NYer,"$11,163",2008
11887,Greetings from Tim Buckley,Trib.,"$11,157",2013
11888,The Last Party,Trit,"$11,156",1993
11889,"Now, Forager",Argo.,"$11,146",2012
11890,Dragon (2012),RTWC,"$11,137",2012
11892,The Suburbans,Sony,"$11,130",1999
11893,InSight,CED,"$11,100",2011
11894,Winning Girls Through Psychic Mind Control,Psyc.,"$11,089",2005
11895,The Woman with the Five Elephants,CGld,"$11,026",2011
11896,Gasoline,Strand,"$11,023",2003
11897,Pay 2 Play: Democracy's High Stakes,SFI,"$11,021",2014
11898,The Front Line,WGUSA,"$11,018",2012
11899,I Hate Valentine's Day,IFC,"$11,004",2009
11900,The Conrad Boys,Newp.,"$11,001",2006
11901,Christina,Indic.,"$11,000",2010
11902,Manito,FM,"$11,000",2003
11903,Pauly Shore is Dead,Reg.,"$11,000",2004
11904,Tales of the Night,GK,"$10,975",2012
11905,Henning Mankell's 'Wallander': The Revenge,MBox,"$10,960",2012
11906,Sarah Palin - You Betcha!,Free,"$10,935",2011
11907,Belle Toujours,NYer,"$10,921",2007
11908,MC5: A True Testimonial,Avat.,"$10,888",2004
11909,Stardom,Lions,"$10,886",2000
11910,The Players,Wein.,"$10,854",2014
11911,As It Is In Heaven,N/A,"$10,850",2014
11912,Spring Fever,Strand,"$10,824",2010
11913,Alone with Her,IFC,"$10,787",2007
11914,Terkel in Trouble,Indic.,"$10,783",2010
11915,The Man Who Shook the Hand of Vicente Fernandez,Indic.,"$10,782",2012
11916,Viva La Liberta,Distrib.,"$10,780",2014
11917,Time and Tide,Sony,"$10,770",2001
11918,Special Forces,EOne,"$10,759",2012
11919,A Resurrection,AD,"$10,730",2013
11920,A Matter of Taste,Att.,"$10,720",2001
11921,Freshman Orientation,Reg.,"$10,718",2007
11922,Magic to Win,CL,"$10,697",2011
11923,The Pleasure of Being Robbed,IFC,"$10,687",2008
11924,Made in Cleveland,SE,"$10,681",2013
11925,Why Don't You Play in Hell,Drft.,"$10,653",2014
11926,American Meat,LB,"$10,650",2013
11927,Caucus,BFOA,"$10,645",2013
11928,Robot Carnival,Stl.,"$10,642",1991
11929,Mind the Gap,Zion,"$10,637",2004
11930,One More Round,SilP.,"$10,629",2005
11931,Pathfinder (1990),IFE,"$10,628",1990
11932,Jupiter's Wife,AL,"$10,622",1995
11933,Peter and Vandy,Strand,"$10,618",2009
11934,Midget Zombie Takeover,DWOES,"$10,604",2013
11935,Rana's Wedding,Arab,"$10,604",2003
11936,"Marriage, Italian Style (2011 re-release)",KC,"$10,600",2011
11937,whaledreamers,Mont.,"$10,584",2008
11938,Schizopolis,N.Arts,"$10,580",1997
11939,Found Memories,FM,"$10,575",2012
11940,China Heavyweight,Zeit.,"$10,550",2012
11941,Nola,IDP,"$10,550",2003
11942,Motorama,2Mn,"$10,535",1993
11943,White Rainbow,Indic.,"$10,529",2006
11944,"Fast Trip, Long Drop",Drif,"$10,524",1995
11945,Fighting Tommy Riley,Free,"$10,514",2005
11946,Waiting for Armageddon,FRun,"$10,501",2010
11947,Splinter (2007),Magic,"$10,497",2007
11948,Zero Kelvin,Kino,"$10,493",1996
11949,Santa Mesa,Indic.,"$10,490",2012
11950,The Milk of Sorrow,Olive,"$10,462",2010
11951,Evil Intent,DWOES,"$10,454",2013
11952,Rogue,TRR,"$10,452",2008
11953,Let's Get Frank,Rnd.,"$10,440",2004
11954,In the Pit,Kino,"$10,433",2007
11955,Love in the Time of Money,Think,"$10,410",2002
11956,Home (2009 drama),Mont.,"$10,405",2009
11957,Forgiving Dr. Mengele,FRun,"$10,403",2006
11958,Shanghai Calling,SM,"$10,400",2013
11959,Elemental,TFC,"$10,358",2013
11960,Zero Bridge,FDesk,"$10,357",2011
11961,The Heir Apparent: Largo Winch,MBox,"$10,352",2011
11962,Liv & Ingmar,Jan.,"$10,347",2013
11963,So Goes the Nation,IFC,"$10,337",2006
11964,"Norte, the End of History",CGld,"$10,332",2014
11965,Battle for Haditha,Lafa.,"$10,310",2008
11966,Oasis,Life,"$10,304",2004
11967,Chaos,Din.,"$10,289",2005
11968,The Vanished Empire,Kino,"$10,289",2009
11969,Shepard and Dark,MBox,"$10,278",2013
11970,As It Is in Heaven (2008),Vita.,"$10,236",2008
11971,The Endless Summer (2014 re-release),Mont.,"$10,233",2014
11972,Steel City,Truly,"$10,227",2007
11973,The Prince of the Himalayas,AM,"$10,190",2011
11974,Miss Minoes,MBox,"$10,189",2011
11975,Ethan Mao,Marg.,"$10,178",2005
11976,Zindagi Rocks,Eros,"$10,172",2006
11977,"Black Is, Black Ain't",Tara,"$10,171",1995
11978,The Tiger and the Snow,Strand,"$10,167",2006
11979,Glen or Glenda,Par.,"$10,158",1981
11980,A Bird of the Air,Pala.,"$10,152",2011
11981,Husbands in Goa,UTV,"$10,135",2012
11982,Revolution #9,Exil.,"$10,133",2002
11983,"Good Morning, Night",Wells,"$10,093",2005
11984,Putin's Kiss,KL,"$10,082",2012
